,algorithm,num_flows,buff_size,abs_delta_l,abs_delta_l_tail,abs_delta_r,abs_delta_r_tail,ave_delta_l,ave_delta_l_tail,ave_delta_r,ave_delta_r_tail,formatted_algorithm,abs_delta_inv
41,Cubic,4,45.0,1.4880952380952377,1.436781609195402,1.8480000000000005,1.5120000000000005,1.3695876536098308,1.3067453503083573,1.6260000000000006,1.4940000000000004,Cubic,0.6960000000000002
42,Reno,4,45.0,2.9761904761904754,1.7361111111111107,2.1600000000000006,1.7520000000000004,2.269491129785247,1.5124692118226597,1.8900000000000006,1.8240000000000003,Reno,0.5760000000000002
43,Scalable,4,45.0,1.4880952380952377,1.1574074074074072,1.6800000000000004,1.5600000000000003,1.1682183557183554,0.9946776037201567,1.5540000000000005,1.4880000000000004,Scalable,0.8640000000000001
44,Bbr,8,45.0,2.3148148148148144,0.9057971014492752,5.376000000000001,4.512000000000001,1.429784210913691,0.7585539272802283,4.548000000000001,4.44,BBR,1.1040000000000003
45,Cubic,8,45.0,2.9761904761904754,1.302083333333333,2.7360000000000007,1.9200000000000004,1.7135122963659142,1.1631055576368075,2.0520000000000005,1.7280000000000004,Cubic,0.7680000000000001
46,Reno,8,45.0,4.166666666666666,1.8939393939393936,3.2640000000000007,2.4000000000000004,3.139467592592592,1.64735183117536,2.5260000000000002,2.412000000000001,Reno,0.5280000000000001
47,Scalable,8,45.0,3.4722222222222214,1.302083333333333,2.2080000000000006,1.8720000000000003,1.8864790234275524,1.1104480905006417,1.8540000000000005,1.7820000000000003,Scalable,0.7680000000000001
48,Bbr,16,45.0,2.604166666666666,0.8680555555555554,7.872000000000002,6.912000000000002,1.4143071434738097,0.7155296486690514,6.265600000000002,5.996800000000002,BBR,1.1520000000000004
49,Cubic,16,45.0,10.416666666666664,2.083333333333333,3.552000000000001,2.3040000000000007,4.36430431547619,1.7425933441558437,2.6100000000000003,2.136000000000001,Cubic,0.4800000000000001
50,Reno,16,45.0,10.416666666666664,2.083333333333333,3.936000000000001,2.5920000000000005,5.284288194444444,1.7399863591269835,2.8680000000000003,2.658000000000001,Reno,0.4800000000000001
51,Scalable,16,45.0,10.416666666666664,1.302083333333333,2.4000000000000004,1.8240000000000005,3.4505208333333326,1.18404093013468,1.974000000000001,1.8490500000000005,Scalable,0.7680000000000001
52,Bbr,32,45.0,5.208333333333332,0.8680555555555554,14.976000000000003,12.672000000000002,2.115026391646762,0.8675449527670972,9.57866666666667,8.818133333333334,BBR,1.1520000000000004
53,Cubic,32,45.0,5.208333333333332,2.604166666666666,5.568000000000001,3.2640000000000007,4.597981770833332,2.107747395833333,3.9780000000000006,3.3143999999999996,Cubic,0.38400000000000006
54,Reno,32,45.0,5.208333333333332,1.7361111111111107,4.800000000000001,2.880000000000001,5.045572916666666,1.7470909804894184,3.450000000000001,3.01515,Reno,0.5760000000000002
55,Scalable,32,45.0,5.208333333333332,1.302083333333333,3.456000000000001,2.4960000000000004,4.665798611111108,1.1195086050724639,2.6340000000000003,2.4720000000000013,Scalable,0.7680000000000001
56,Bbr,64,45.0,2.604166666666666,0.6510416666666665,27.648000000000007,21.888000000000005,1.6936510837278387,0.648863047772052,13.601684210526319,12.186273684210528,BBR,1.5360000000000003
57,Cubic,64,45.0,2.604166666666666,1.302083333333333,7.6800000000000015,4.992000000000001,2.563476562499999,1.2851291232638888,5.081999999999999,4.33065,Cubic,0.7680000000000001
58,Reno,64,45.0,2.604166666666666,1.302083333333333,8.448000000000002,4.992000000000001,2.5600282485875705,1.1252400728842333,5.252338983050846,4.776081355932204,Reno,0.7680000000000001
59,Scalable,64,45.0,2.604166666666666,0.8680555555555554,6.528000000000001,4.992000000000001,2.5828210382513657,0.8618929287726315,4.64577049180328,4.392550819672129,Scalable,1.1520000000000004
60,Bbr,128,45.0,1.302083333333333,0.32552083333333326,53.76000000000001,43.00800000000001,1.0059950086805554,0.44779615305575105,22.416,20.399040000000003,BBR,3.0720000000000005
61,Cubic,128,45.0,1.302083333333333,0.6510416666666665,17.664000000000005,9.216000000000003,1.3020833333333317,0.670508028792912,10.010790697674418,8.34619534883721,Cubic,1.5360000000000003
62,Reno,128,45.0,1.302083333333333,0.6510416666666665,19.200000000000003,9.216000000000003,1.294045781893003,0.6320913421325566,9.822814814814812,8.920888888888882,Reno,1.5360000000000003
63,Scalable,128,45.0,1.302083333333333,0.6510416666666665,14.592000000000004,9.984000000000002,1.302083333333332,0.49817408069483277,9.291851851851847,8.75733333333333,Scalable,1.5360000000000003
64,Bbr,1,89.0,0.7610350076103499,0.7215007215007213,2.2080000000000006,2.1840000000000006,0.7610350076103499,0.7032348804500702,2.2080000000000006,2.1840000000000006,BBR,1.3860000000000003
65,Cubic,1,89.0,0.957854406130268,0.9523809523809522,1.4940000000000004,1.4280000000000004,0.957854406130268,0.9523809523809522,1.4940000000000004,1.4280000000000004,Cubic,1.0500000000000003
66,Reno,1,89.0,1.4880952380952377,1.3661202185792347,1.5000000000000004,1.4460000000000004,1.4880952380952377,1.302083333333333,1.5000000000000004,1.4700000000000004,Reno,0.7320000000000001
67,Scalable,1,89.0,0.7645259938837918,0.7507507507507506,1.5360000000000003,1.5120000000000005,0.7645259938837918,0.7473841554559042,1.5360000000000003,1.5240000000000002,Scalable,1.3320000000000003
68,Bbr,2,89.0,0.809061488673139,0.7002801120448178,2.4720000000000004,2.3520000000000008,0.7765545538603789,0.6803741224562337,2.412000000000001,2.388000000000001,BBR,1.4280000000000004
69,Cubic,2,89.0,1.126126126126126,1.111111111111111,1.8360000000000005,1.7160000000000004,1.059094809094809,1.045751633986928,1.7280000000000004,1.634399999999998,Cubic,0.9000000000000001
70,Reno,2,89.0,1.3661202185792347,1.2820512820512817,1.5960000000000003,1.5120000000000005,1.3341017759562839,1.2265512265512264,1.5600000000000003,1.5120000000000005,Reno,0.7800000000000002
71,Scalable,2,89.0,0.9920634920634919,0.9259259259259257,1.9320000000000004,1.8240000000000005,0.8347851335656211,0.7962487835088028,1.6380000000000003,1.5840000000000003,Scalable,1.0800000000000003
72,Bbr,4,89.0,0.9689922480620153,0.5208333333333333,3.3600000000000008,3.2160000000000006,0.7521564023639753,0.42523375090777044,3.144000000000001,3.096000000000001,BBR,1.9200000000000004
