,algorithm,action,rounded_timestamp,num_flows,num_dropped_packets,num_packets,num_active_flows,num_dropped_flows
119,bbr,drop,0.076,1,0,69,1,0
120,bbr,drop,0.076,2,4,118,2,2
121,bbr,drop,0.076,128,0,2,1,0
122,bbr,drop,0.077,1,0,63,1,0
123,bbr,drop,0.077,2,0,165,2,0
124,bbr,drop,0.077,128,0,1,1,0
125,bbr,drop,0.078,1,0,60,1,0
126,bbr,drop,0.078,2,18,149,2,2
127,bbr,drop,0.078,128,0,2,1,0
128,bbr,drop,0.079,1,0,51,1,0
129,bbr,drop,0.079,2,2,137,2,2
130,bbr,drop,0.079,128,0,1,1,0
131,bbr,drop,0.08,1,27,57,1,1
132,bbr,drop,0.08,2,0,141,2,0
133,bbr,drop,0.081,1,3,141,1,1
134,bbr,drop,0.081,2,0,142,2,0
135,bbr,drop,0.081,128,0,2,1,0
136,bbr,drop,0.082,1,0,136,1,0
137,bbr,drop,0.082,2,0,135,2,0
138,bbr,drop,0.082,128,0,1,1,0
139,bbr,drop,0.083,1,0,139,1,0
140,bbr,drop,0.083,2,0,135,2,0
141,bbr,drop,0.083,128,0,2,1,0
142,bbr,drop,0.084,1,0,140,1,0
143,bbr,drop,0.084,2,8,148,2,1
144,bbr,drop,0.084,128,0,1,1,0
145,bbr,drop,0.085,1,0,138,1,0
146,bbr,drop,0.085,2,19,152,2,2
147,bbr,drop,0.085,128,0,2,1,0
148,bbr,drop,0.086,1,0,139,1,0
149,bbr,drop,0.086,2,7,142,2,1
150,bbr,drop,0.087,1,0,138,1,0
151,bbr,drop,0.087,2,0,136,2,0
152,bbr,drop,0.087,128,0,1,1,0
153,bbr,drop,0.088,1,0,138,1,0
154,bbr,drop,0.088,2,0,142,2,0
155,bbr,drop,0.088,128,0,2,1,0
156,bbr,drop,0.089,1,0,138,1,0
157,bbr,drop,0.089,2,2,142,2,2
158,bbr,drop,0.089,128,0,1,1,0
159,bbr,drop,0.09,1,0,139,1,0
160,bbr,drop,0.09,2,5,139,2,1
161,bbr,drop,0.09,128,0,2,1,0
162,bbr,drop,0.091,1,0,138,1,0
163,bbr,drop,0.091,2,11,143,2,2
164,bbr,drop,0.091,64,0,1,1,0
165,bbr,drop,0.092,1,0,139,1,0
166,bbr,drop,0.092,2,0,142,2,0
167,bbr,drop,0.092,64,0,2,1,0
168,bbr,drop,0.092,128,0,1,1,0
169,bbr,drop,0.093,1,0,137,1,0
170,bbr,drop,0.093,2,0,141,2,0
171,bbr,drop,0.093,4,0,1,1,0
172,bbr,drop,0.093,64,0,2,1,0
173,bbr,drop,0.093,128,0,2,1,0
174,bbr,drop,0.094,1,0,139,1,0
175,bbr,drop,0.094,2,26,153,2,2
176,bbr,drop,0.094,4,0,2,1,0
177,bbr,drop,0.094,64,0,1,1,0
178,bbr,drop,0.094,128,0,1,1,0
179,bbr,drop,0.095,1,0,138,1,0
180,bbr,drop,0.095,2,37,163,2,2
181,bbr,drop,0.095,4,0,2,1,0
182,bbr,drop,0.095,64,0,1,1,0
183,bbr,drop,0.095,128,0,2,1,0
184,bbr,drop,0.096,1,0,139,1,0
185,bbr,drop,0.096,2,0,142,2,0
186,bbr,drop,0.096,4,0,1,1,0
187,bbr,drop,0.096,64,0,1,1,0
188,bbr,drop,0.097,1,43,169,1,1
189,bbr,drop,0.097,2,0,141,2,0
190,bbr,drop,0.097,32,0,1,1,0
191,bbr,drop,0.097,64,0,2,1,0
192,bbr,drop,0.097,128,0,1,1,0
193,bbr,drop,0.098,1,21,154,1,1
194,bbr,drop,0.098,2,0,135,2,0
195,bbr,drop,0.098,4,0,2,2,0
196,bbr,drop,0.098,32,0,2,1,0
197,bbr,drop,0.098,64,0,1,1,0
