,algorithm,action,rounded_timestamp,num_flows,num_dropped_packets,num_packets,num_active_flows,num_dropped_flows
119,bbr,drop,145.0,1,55,732,1,1
120,bbr,drop,145.0,2,22,713,2,2
121,bbr,drop,145.0,4,50,713,4,4
122,bbr,drop,145.0,8,67,706,8,8
123,bbr,drop,145.0,16,0,6,3,0
124,bbr,drop,145.0,32,0,6,2,0
125,bbr,drop,145.0,64,0,6,2,0
126,bbr,drop,145.0,128,0,6,2,0
127,bbr,drop,150.0,1,0,691,1,0
128,bbr,drop,150.0,2,77,741,2,2
129,bbr,drop,150.0,4,87,730,4,4
130,bbr,drop,150.0,8,148,762,8,8
131,bbr,drop,150.0,16,0,122,17,0
132,bbr,drop,150.0,32,0,6,2,0
133,bbr,drop,150.0,64,0,7,3,0
134,bbr,drop,150.0,128,0,6,2,0
135,bbr,drop,155.0,1,27,712,1,1
136,bbr,drop,155.0,2,65,737,2,2
137,bbr,drop,155.0,4,73,744,4,4
138,bbr,drop,155.0,8,164,764,8,8
139,bbr,drop,155.0,16,36,489,16,9
140,bbr,drop,155.0,32,0,6,2,0
141,bbr,drop,155.0,64,0,6,3,0
142,bbr,drop,155.0,128,0,6,2,0
143,bbr,drop,160.0,1,46,725,1,1
144,bbr,drop,160.0,2,79,753,2,2
145,bbr,drop,160.0,4,74,742,4,4
146,bbr,drop,160.0,8,88,772,8,8
147,bbr,drop,160.0,16,163,494,16,16
148,bbr,drop,160.0,32,0,6,2,0
149,bbr,drop,160.0,64,0,6,3,0
150,bbr,drop,160.0,128,0,6,2,0
151,bbr,drop,165.0,1,0,691,1,0
152,bbr,drop,165.0,2,87,758,2,2
153,bbr,drop,165.0,4,38,716,4,3
154,bbr,drop,165.0,8,85,758,8,8
155,bbr,drop,165.0,16,200,551,16,16
156,bbr,drop,165.0,32,0,6,2,0
157,bbr,drop,165.0,64,0,6,3,0
158,bbr,drop,165.0,128,0,6,2,0
159,bbr,drop,170.0,1,31,715,1,1
160,bbr,drop,170.0,2,48,722,2,2
161,bbr,drop,170.0,4,62,732,4,4
162,bbr,drop,170.0,8,72,745,8,7
163,bbr,drop,170.0,16,254,577,16,16
164,bbr,drop,170.0,32,0,6,2,0
165,bbr,drop,170.0,64,0,6,3,0
166,bbr,drop,170.0,128,0,6,2,0
167,bbr,drop,175.0,1,0,692,1,0
168,bbr,drop,175.0,2,80,747,2,2
169,bbr,drop,175.0,4,49,731,4,4
170,bbr,drop,175.0,8,84,746,8,8
171,bbr,drop,175.0,16,223,620,15,15
172,bbr,drop,175.0,32,0,6,2,0
173,bbr,drop,175.0,64,0,6,3,0
174,bbr,drop,175.0,128,0,6,2,0
175,bbr,drop,180.0,1,32,714,1,1
176,bbr,drop,180.0,2,58,738,2,2
177,bbr,drop,180.0,4,20,692,4,4
178,bbr,drop,180.0,8,87,757,8,8
179,bbr,drop,180.0,16,96,624,15,15
180,bbr,drop,180.0,32,0,103,17,0
181,bbr,drop,180.0,64,0,6,3,0
182,bbr,drop,180.0,128,0,6,2,0
183,bbr,drop,185.0,1,30,714,1,1
184,bbr,drop,185.0,2,76,751,2,2
185,bbr,drop,185.0,4,35,731,4,4
186,bbr,drop,185.0,8,102,762,8,8
187,bbr,drop,185.0,16,121,671,15,15
188,bbr,drop,185.0,32,44,376,32,19
189,bbr,drop,185.0,64,0,6,3,0
190,bbr,drop,185.0,128,0,6,2,0
191,bbr,drop,190.0,1,0,692,1,0
192,bbr,drop,190.0,2,83,747,2,2
193,bbr,drop,190.0,4,56,718,4,4
194,bbr,drop,190.0,8,123,787,8,8
195,bbr,drop,190.0,16,147,703,15,15
196,bbr,drop,190.0,32,162,755,32,30
197,bbr,drop,190.0,64,0,6,3,0
198,bbr,drop,190.0,128,0,6,2,0
199,bbr,drop,195.0,1,48,727,1,1
200,bbr,drop,195.0,2,45,720,2,2
201,bbr,drop,195.0,4,81,726,4,4
202,bbr,drop,195.0,8,131,784,8,8
203,bbr,drop,195.0,16,112,724,15,15
204,bbr,drop,195.0,32,291,744,31,30
205,bbr,drop,195.0,64,0,6,3,0
206,bbr,drop,195.0,128,0,6,2,0
207,bbr,drop,200.0,1,7,695,1,1
208,bbr,drop,200.0,2,98,767,2,2
209,bbr,drop,200.0,4,80,759,4,4
210,bbr,drop,200.0,8,125,781,8,8
211,bbr,drop,200.0,16,80,705,15,12
212,bbr,drop,200.0,32,291,836,29,29
213,bbr,drop,200.0,64,0,6,3,0
214,bbr,drop,200.0,128,0,6,2,0
215,bbr,drop,205.0,1,20,708,1,1
216,bbr,drop,205.0,2,63,742,2,2
217,bbr,drop,205.0,4,36,712,4,3
218,bbr,drop,205.0,8,123,785,8,8
219,bbr,drop,205.0,16,86,774,15,12
220,bbr,drop,205.0,32,335,841,28,28
221,bbr,drop,205.0,64,0,6,3,0
222,bbr,drop,205.0,128,0,6,2,0
223,bbr,drop,210.0,1,9,698,1,1
224,bbr,drop,210.0,2,82,747,2,2
225,bbr,drop,210.0,4,59,736,4,4
226,bbr,drop,210.0,8,81,747,8,8
227,bbr,drop,210.0,16,111,764,15,15
228,bbr,drop,210.0,32,290,851,28,27
229,bbr,drop,210.0,64,0,7,3,0
230,bbr,drop,210.0,128,0,6,2,0
231,bbr,drop,215.0,1,0,690,1,0
232,bbr,drop,215.0,2,80,745,2,2
233,bbr,drop,215.0,4,44,715,4,4
234,bbr,drop,215.0,8,106,769,8,8
235,bbr,drop,215.0,16,119,787,15,15
236,bbr,drop,215.0,32,240,870,28,26
237,bbr,drop,215.0,64,0,6,3,0
238,bbr,drop,215.0,128,0,6,2,0
239,bbr,drop,220.0,1,38,720,1,1
240,bbr,drop,220.0,2,45,729,2,2
241,bbr,drop,220.0,4,35,720,4,4
242,bbr,drop,220.0,8,103,765,8,8
243,bbr,drop,220.0,16,109,771,15,15
244,bbr,drop,220.0,32,146,801,28,25
245,bbr,drop,220.0,64,0,5,3,0
246,bbr,drop,220.0,128,0,6,2,0
247,bbr,drop,225.0,1,23,708,1,1
248,bbr,drop,225.0,2,35,720,2,2
249,bbr,drop,225.0,4,67,710,4,4
250,bbr,drop,225.0,8,105,772,8,8
251,bbr,drop,225.0,16,147,798,15,14
252,bbr,drop,225.0,32,188,819,28,27
253,bbr,drop,225.0,64,0,8,3,0
254,bbr,drop,225.0,128,0,6,2,0
255,bbr,drop,230.0,1,6,697,1,1
256,bbr,drop,230.0,2,33,710,2,2
257,bbr,drop,230.0,4,34,729,4,3
258,bbr,drop,230.0,8,107,770,8,8
259,bbr,drop,230.0,16,146,798,15,15
260,bbr,drop,230.0,32,166,813,28,23
261,bbr,drop,230.0,64,0,6,2,0
262,bbr,drop,230.0,128,0,6,2,0
263,bbr,drop,235.0,1,22,708,1,1
264,bbr,drop,235.0,2,38,717,2,2
265,bbr,drop,235.0,4,36,728,4,4
266,bbr,drop,235.0,8,108,766,8,8
267,bbr,drop,235.0,16,166,811,15,15
268,bbr,drop,235.0,32,171,816,28,26
269,bbr,drop,235.0,64,0,6,2,0
270,bbr,drop,235.0,128,0,6,2,0
271,bbr,drop,240.0,1,0,690,1,0
272,bbr,drop,240.0,2,36,722,2,2
273,bbr,drop,240.0,4,81,750,4,4
274,bbr,drop,240.0,8,119,776,8,8
275,bbr,drop,240.0,16,161,809,15,15
276,bbr,drop,240.0,32,179,823,28,27
277,bbr,drop,240.0,64,0,6,2,0
278,bbr,drop,240.0,128,0,6,2,0
279,bbr,drop,245.0,1,9,698,1,1
280,bbr,drop,245.0,2,0,696,2,0
281,bbr,drop,245.0,4,92,754,4,4
282,bbr,drop,245.0,8,113,777,8,8
283,bbr,drop,245.0,16,171,810,15,14
284,bbr,drop,245.0,32,167,817,28,26
285,bbr,drop,245.0,64,0,6,2,0
286,bbr,drop,245.0,128,0,6,2,0
287,bbr,drop,250.0,1,41,722,1,1
288,bbr,drop,250.0,2,37,716,2,2
289,bbr,drop,250.0,4,103,771,4,4
290,bbr,drop,250.0,8,128,784,8,8
291,bbr,drop,250.0,16,197,839,15,15
292,bbr,drop,250.0,32,203,823,28,27
293,bbr,drop,250.0,64,0,3,1,0
294,bbr,drop,250.0,128,0,6,2,0
295,bbr,drop,255.0,1,0,693,1,0
296,bbr,drop,255.0,2,22,702,2,2
297,bbr,drop,255.0,4,59,735,4,4
298,bbr,drop,255.0,8,139,787,8,8
299,bbr,drop,255.0,16,235,861,15,15
300,bbr,drop,255.0,32,155,819,28,27
301,bbr,drop,255.0,64,45,180,32,19
302,bbr,drop,255.0,128,0,6,2,0
303,bbr,drop,260.0,1,36,717,1,1
304,bbr,drop,260.0,2,15,707,2,2
305,bbr,drop,260.0,4,113,773,4,4
306,bbr,drop,260.0,8,144,795,8,8
307,bbr,drop,260.0,16,237,864,15,15
308,bbr,drop,260.0,32,159,806,28,27
309,bbr,drop,260.0,64,53,348,62,23
310,bbr,drop,260.0,128,0,6,2,0
311,bbr,drop,265.0,1,0,691,1,0
312,bbr,drop,265.0,2,54,734,2,2
313,bbr,drop,265.0,4,94,761,4,4
314,bbr,drop,265.0,8,101,530,8,8
315,bbr,drop,265.0,16,236,861,15,15
316,bbr,drop,265.0,32,179,819,28,27
317,bbr,drop,265.0,64,174,599,63,47
318,bbr,drop,265.0,128,0,7,3,0
319,bbr,drop,270.0,1,40,722,1,1
320,bbr,drop,270.0,2,0,689,2,0
321,bbr,drop,270.0,4,86,753,4,4
322,bbr,drop,270.0,8,67,456,8,8
323,bbr,drop,270.0,16,161,807,15,15
324,bbr,drop,270.0,32,155,806,28,26
325,bbr,drop,270.0,64,257,809,55,54
326,bbr,drop,270.0,128,0,5,2,0
327,bbr,drop,275.0,1,45,723,1,1
328,bbr,drop,275.0,2,36,706,2,2
329,bbr,drop,275.0,4,114,774,4,4
330,bbr,drop,275.0,8,91,641,8,8
331,bbr,drop,275.0,16,161,810,15,15
332,bbr,drop,275.0,32,151,793,28,28
333,bbr,drop,275.0,64,321,866,56,56
334,bbr,drop,275.0,128,0,6,2,0
335,bbr,drop,280.0,1,0,693,1,0
336,bbr,drop,280.0,2,23,712,2,2
337,bbr,drop,280.0,4,65,739,4,4
338,bbr,drop,280.0,8,106,768,8,8
339,bbr,drop,280.0,16,123,780,15,14
340,bbr,drop,280.0,32,149,802,28,25
341,bbr,drop,280.0,64,311,867,54,52
342,bbr,drop,280.0,128,0,7,3,0
343,bbr,drop,285.0,1,40,721,1,1
344,bbr,drop,285.0,2,52,734,2,2
345,bbr,drop,285.0,4,98,763,4,4
346,bbr,drop,285.0,8,102,770,8,8
347,bbr,drop,285.0,16,135,790,15,15
348,bbr,drop,285.0,32,161,808,28,27
349,bbr,drop,285.0,64,259,849,54,54
350,bbr,drop,285.0,128,0,6,3,0
351,bbr,drop,290.0,1,0,691,1,0
352,bbr,drop,290.0,2,74,741,2,2
353,bbr,drop,290.0,4,103,766,4,4
354,bbr,drop,290.0,8,115,777,8,8
355,bbr,drop,290.0,16,116,777,15,15
356,bbr,drop,290.0,32,163,815,28,24
357,bbr,drop,290.0,64,229,849,53,50
358,bbr,drop,290.0,128,0,6,3,0
359,bbr,drop,295.0,1,50,729,1,1
360,bbr,drop,295.0,2,78,744,2,2
361,bbr,drop,295.0,4,98,761,4,4
362,bbr,drop,295.0,8,134,785,8,8
363,bbr,drop,295.0,16,169,813,15,15
364,bbr,drop,295.0,32,131,787,28,23
